"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 29 17:39:34 BRT 2022","Wed Jun 29 17:39:35 BRT 2022","1444","","Teste de Regressão SISEMP","","","","Validar API Navbar - São Paulo, Temperatura",""
"passed","Wed Jun 29 17:40:19 BRT 2022","Wed Jun 29 17:40:21 BRT 2022","2331","","Teste de Regressão SISEMP","","","","Validar Link Noticia 3 Tela Sobre",""
"passed","Wed Jun 29 17:39:59 BRT 2022","Wed Jun 29 17:40:02 BRT 2022","2592","","Teste de Regressão SISEMP","","","","Validando Cadastro realizado - Na tabela",""
"passed","Wed Jun 29 17:40:02 BRT 2022","Wed Jun 29 17:40:07 BRT 2022","5014","","Teste de Regressão SISEMP","","","","Cadastrar Atendimento",""
"passed","Wed Jun 29 17:40:07 BRT 2022","Wed Jun 29 17:40:10 BRT 2022","2449","","Teste de Regressão SISEMP","","","","Validar Atendimento Cadastrado",""
"passed","Wed Jun 29 17:39:44 BRT 2022","Wed Jun 29 17:39:48 BRT 2022","3708","","Teste de Regressão SISEMP","","","","Pesquisando Pessoa Não Cadastrada",""
"passed","Wed Jun 29 17:40:10 BRT 2022","Wed Jun 29 17:40:12 BRT 2022","2476","","Teste de Regressão SISEMP","","","","Validar Cabeçalho Consulta Atendimento",""
"passed","Wed Jun 29 17:39:40 BRT 2022","Wed Jun 29 17:39:42 BRT 2022","1474","","Teste de Regressão SISEMP","","","","Validar Link Noticia 3",""
"passed","Wed Jun 29 17:39:42 BRT 2022","Wed Jun 29 17:39:44 BRT 2022","2685","","Teste de Regressão SISEMP","","","","Validar Cabeçalho Tabelda - Consultar Pessoa",""
"passed","Wed Jun 29 17:39:48 BRT 2022","Wed Jun 29 17:39:52 BRT 2022","3862","","Teste de Regressão SISEMP","","","","Pesquisando Pessoa Cadastrada",""
"passed","Wed Jun 29 17:39:13 BRT 2022","Wed Jun 29 17:39:18 BRT 2022","5076","","Teste de Regressão SISEMP","","","","Logando na Pagina",""
"passed","Wed Jun 29 17:39:39 BRT 2022","Wed Jun 29 17:39:40 BRT 2022","1298","","Teste de Regressão SISEMP","","","","Validar Link Noticia 2",""
"passed","Wed Jun 29 17:39:52 BRT 2022","Wed Jun 29 17:39:59 BRT 2022","7577","","Teste de Regressão SISEMP","","","","Cadastrar Pessoa",""
"passed","Wed Jun 29 17:40:14 BRT 2022","Wed Jun 29 17:40:16 BRT 2022","2000","","Teste de Regressão SISEMP","","","","Validar Link Noticia 1 Tela Sobre",""
"passed","Wed Jun 29 17:39:35 BRT 2022","Wed Jun 29 17:39:37 BRT 2022","2038","","Teste de Regressão SISEMP","","","","Validar Opções NavBar",""
"passed","Wed Jun 29 17:40:12 BRT 2022","Wed Jun 29 17:40:14 BRT 2022","2104","","Teste de Regressão SISEMP","","","","Validar Texto Tela Sobre",""
"passed","Wed Jun 29 17:39:37 BRT 2022","Wed Jun 29 17:39:39 BRT 2022","1444","","Teste de Regressão SISEMP","","","","Validar Link Noticia 1",""
"passed","Wed Jun 29 17:40:16 BRT 2022","Wed Jun 29 17:40:19 BRT 2022","2339","","Teste de Regressão SISEMP","","","","Validar Link Noticia 2 Tela Sobre",""
"passed","Wed Jun 29 17:39:32 BRT 2022","Wed Jun 29 17:39:34 BRT 2022","1778","","Teste de Regressão SISEMP","","","","Validar Texto Pagina Inicial",""
